resp id,timestamp,university,level of study,original field,Categorised field,self rated knowledge,received phishing,Uni/Inst. email,Personal email,Whatsapp,Facebook/IG,SMS,Telegram,Link clicked,Applicable outcome,Asked password,Device misbehave,Nothing happened,Victim (money lost),Applicable,Reported to IT,Reported to friend/family,Not reported,Reported any,https://www.ug.edu.gh/admissions/apply,https://knust.edu.gh/portal/login,http://ug-edu-gh.login-portal.xyz/student-verify,https://mtn.com.gh/momo/confirm-payment,http://knust-student-login.000webhostapp.com/verify-account,http://mtn-momo-ghana-reward.blogspot.com/free-data-claim,url1 ug apply correct,url2 knust portal correct,url3 fake ug xyz correct,url4 mtn momo correct,url5 fake knust webhost correct,url6 fake mtn blogspot correct,quiz score,https check frequency,Different password,University training,confidence level,AI tool helpful,free text url1,free text url2,free text url3
16,2026-07-13 10:15:01,UCC,Undergraduate (Year 3-4),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,1,0,0,Yes,1,1,0,0,Yes,1,0,1,0,1,Phishing,Legitimate,Phishing,Not Sure,Phishing,Phishing,0,1,1,0,1,1,4,Sometimes,"No, I use the same password","Yes, formal training sessions",Somewhat confident,Very helpful,,,
17,2026-07-13 11:52:38,UHAS,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,Yes,1,0,0,1,0,Not Sure,Not Sure,Phishing,Not Sure,Phishing,Phishing,0,0,1,0,1,1,3,Sometimes,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
18,2026-07-13 11:55:59,UCC,Undergraduate (Year 3-4),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,Yes,1,0,1,0,Yes,1,0,1,0,1,Not Sure,Legitimate,Not Sure,Not Sure,Phishing,Not Sure,0,1,0,0,1,0,2,Rarely,Sometimes,"Yes, formal training sessions",Not very confident,Very helpful,,,
19,2026-07-13 12:02:54,UCC,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
20,2026-07-13 12:08:40,UDS-TAMALE,Undergraduate (Year 3-4),Medicine,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,1,0,Yes,1,0,1,0,1,Legitimate,Phishing,Phishing,Phishing,Phishing,Phishing,1,0,1,0,1,1,4,Rarely,Sometimes,No / I am not aware of any,Not very confident,Somewhat helpful,,,
21,2026-07-13 12:12:43,University of Ghana (UG),PhD,Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Not Sure,Phishing,Phishing,1,1,0,0,1,1,4,Sometimes,"Yes, always","Yes, through emails or notices only",Somewhat confident,Very helpful,,,
22,2026-07-13 12:15:43,KNUST,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Phishing,Not Sure,Phishing,1,1,1,0,0,1,4,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Somewhat helpful,,,
23,2026-07-13 12:17:22,UHAS,Undergraduate (Year 3-4),Health Sciences,Health Sciences,Advanced (I can protect myself confidently),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,"Yes, through emails or notices only",Somewhat confident,Somewhat helpful,,,
24,2026-07-13 12:31:59,UniMAC,Undergraduate (Year 1-2),Broadcast journalism,Arts / Humanities,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,0301001000
25,2026-07-13 13:14:50,UCC,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
26,2026-07-13 13:32:44,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,No,1,1,0,0,1,Legitimate,Phishing,Phishing,Legitimate,Phishing,Phishing,1,0,1,1,1,1,5,Rarely,"Yes, always",No / I am not aware of any,Not very confident,Very helpful,,,
27,2026-07-13 13:32:52,KNUST,Postgraduate (Msc/MPhil),Architecture,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,Yes,1,1,0,0,1,Not Sure,Phishing,Not Sure,Not Sure,Not Sure,Phishing,0,0,0,0,0,1,1,Always,"Yes, always","Yes, formal training sessions",Somewhat confident,Very helpful,,,
28,2026-07-13 14:14:03,KsTU,Undergraduate (Year 1-2),Medical Laboratory Technology,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,1,1,1,Legitimate,Legitimate,Phishing,Legitimate,Not Sure,Phishing,1,1,1,1,0,1,5,Always,"No, I use the same password","Yes, formal training sessions",Somewhat confident,Very helpful,,,
29,2026-07-13 14:22:54,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,"Yes, formal training sessions",Very confident,Very helpful,,,
30,2026-07-13 14:27:05,Ashesi,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,I use a password manager,"Yes, through emails or notices only",Very confident,Very helpful,,,
31,2026-07-13 14:46:28,Ghana Communication Technology University,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,I use a password manager,No / I am not aware of any,Very confident,Very helpful,,,
32,2026-07-13 14:48:10,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,1,0,Not applicable,0,0,0,0,No,1,0,0,0,0,Not Sure,Not Sure,Phishing,Not Sure,Phishing,Phishing,0,0,1,0,1,1,3,Always,"Yes, always","Yes, formal training sessions",Somewhat confident,Somewhat helpful,,,
33,2026-07-13 14:49:27,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,0,1,0,0,No,0,0,0,0,Yes,1,0,0,1,0,Phishing,Legitimate,Phishing,Legitimate,Phishing,Phishing,0,1,1,1,1,1,5,Always,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
34,2026-07-13 15:01:14,University of Ghana (UG),Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,1,0,0,0,0,Yes,1,0,0,0,Yes,1,1,0,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,"No, I use the same password","Yes, through emails or notices only",Somewhat confident,Somewhat helpful,,,
35,2026-07-13 15:02:44,Wisconsin,Undergraduate (Year 1-2),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,0,1,0,0,No,0,0,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,Sometimes,"Yes, through emails or notices only",Not very confident,Very helpful,,,
36,2026-07-13 15:08:50,Pentecost University,Undergraduate (Year 3-4),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,0,1,0,0,Yes,1,0,1,0,I am not sure,1,0,0,1,0,Not Sure,Legitimate,Phishing,Phishing,Phishing,Phishing,0,1,1,0,1,1,4,Rarely,"No, I use the same password","Yes, formal training sessions",Not very confident,Very helpful,Not sure,Not sure,Not sure 
37,2026-07-13 15:21:52,UCC,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,1,Not Sure,Not Sure,Phishing,Phishing,Phishing,Phishing,0,0,1,0,1,1,3,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
38,2026-07-13 15:27:25,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,I use a password manager,"Yes, formal training sessions",Very confident,Very helpful,,,
39,2026-07-13 15:27:40,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Sometimes,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
40,2026-07-13 15:45:27,University of Ghana (UG),Undergraduate (Year 3-4),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,I am not sure,1,0,1,0,1,Not Sure,Not Sure,Not Sure,Not Sure,Phishing,Legitimate,0,0,0,0,1,0,1,Rarely,"Yes, always","Yes, formal training sessions",Not very confident,Very helpful,,,
41,2026-07-13 16:13:49,KNUST,Postgraduate (Msc/MPhil),Arts / Humanities,Arts / Humanities,Basic (I have heard of it),"Yes, once or twice",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,0,0,Not Sure,Phishing,Phishing,Phishing,Phishing,Phishing,0,0,1,0,1,1,3,Rarely,"Yes, always",No / I am not aware of any,Very confident,Very helpful,,,
42,2026-07-13 17:26:51,KNUST,Postgraduate (Msc/MPhil),Environmental Science,Other (Natural/Applied Sciences),Intermediate (I understand common threats),I am not sure,0,0,0,0,0,0,Not applicable,0,0,0,0,No,0,0,0,0,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,Never,Sometimes,No / I am not aware of any,Not confident at all,Very helpful,,,
43,2026-07-13 17:42:03,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,I use a password manager,"Yes, formal training sessions",Very confident,Very helpful,,,
44,2026-07-13 18:47:28,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,1,1,0,0,0,0,2,Rarely,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
45,2026-07-13 18:49:31,Ashesi,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Not Sure,Legitimate,Phishing,Phishing,Phishing,Not Sure,0,1,1,0,1,0,3,Always,I use a password manager,No / I am not aware of any,Somewhat confident,Very helpful,,,
46,2026-07-13 18:52:52,UCC,Undergraduate (Year 1-2),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,Yes,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"No, I use the same password","Yes, formal training sessions",Very confident,Somewhat helpful,,,
47,2026-07-13 20:00:47,UCC,Postgraduate (Msc/MPhil),MPHIL PHYSICS,Other (Natural/Applied Sciences),Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Phishing,1,1,0,1,0,1,4,Sometimes,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
48,2026-07-13 20:06:53,UCC,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,"Yes, through emails or notices only",Somewhat confident,Somewhat helpful,,,
49,2026-07-13 20:36:47,KNUST,Postgraduate (Msc/MPhil),Computing / IT / Engineering,Computing / IT / Engineering,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Not Sure,1,1,1,0,1,0,4,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,https://bit.ly/3SAhV4i ,https://bit.ly/4g9FoTQ ,http://bit.ly/4gMt3VE 
50,2026-07-13 21:27:49,CUG,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, once or twice",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Not Sure,Not Sure,Phishing,Phishing,Phishing,Phishing,0,0,1,0,1,1,3,Rarely,"No, I use the same password",No / I am not aware of any,Very confident,Very helpful,,,
51,2026-07-13 21:28:56,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,0,0,1,0,Yes,1,1,0,0,No,1,0,1,1,1,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,1,0,0,0,0,0,1,Rarely,"No, I use the same password",No / I am not aware of any,Not very confident,Somewhat helpful,No,No,No
52,2026-07-13 23:09:24,KNUST,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Basic (I have heard of it),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
53,2026-07-14 01:31:59,UDS,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Not Sure,Phishing,Phishing,Phishing,1,1,0,0,1,1,4,Always,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,,,
54,2026-07-14 02:23:23,University of Ghana (UG),Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,0,1,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,Sometimes,No / I am not aware of any,Somewhat confident,Very helpful,https://theos-sublime-site-0b5bb1.webflow.io/,,
55,2026-07-14 03:17:26,UCC,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,1,0,0,0,0,Yes,1,1,0,0,No,1,0,0,0,0,Legitimate,Legitimate,Legitimate,Phishing,Not Sure,Legitimate,1,1,0,0,0,0,2,Always,"Yes, always","Yes, through emails or notices only",Very confident,Very helpful,,,
56,2026-07-14 05:23:59,KNUST,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Basic (I have heard of it),"Yes, many times",0,0,0,0,0,1,Yes,1,0,1,0,Yes,1,0,1,0,1,Not Sure,Legitimate,Not Sure,Phishing,Not Sure,Phishing,0,1,0,0,0,1,2,Sometimes,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
57,2026-07-14 07:02:02,KNUST,Undergraduate (Year 3-4),Actuarial science,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,Sometimes,No / I am not aware of any,Very confident,Very helpful,,,
58,2026-07-14 08:33:45,KNUST,Undergraduate (Year 3-4),Computing / IT / Engineering,Computing / IT / Engineering,Advanced (I can protect myself confidently),"Yes, many times",0,0,0,0,1,0,No,0,0,0,0,Yes,1,0,0,1,0,Legitimate,Legitimate,Legitimate,Phishing,Legitimate,Phishing,1,1,0,0,0,1,3,Sometimes,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
59,2026-07-14 09:26:11,KNUST,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,1,0,Yes,1,0,1,0,1,Legitimate,Not Sure,Phishing,Not Sure,Phishing,Phishing,1,0,1,0,1,1,4,Sometimes,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,,,
60,2026-07-14 09:47:04,University of Ghana (UG),Undergraduate (Year 3-4),Arts / Humanities,Arts / Humanities,Intermediate (I understand common threats),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,Yes,1,0,1,0,1,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,Legitimate,1,1,0,1,0,0,3,Sometimes,"Yes, always","Yes, formal training sessions",Not very confident,Very helpful,,,
61,2026-07-14 10:36:07,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Basic (I have heard of it),I am not sure,0,0,0,0,0,0,Yes,1,1,0,0,No,0,0,0,0,,Not Sure,Legitimate,Not Sure,Not Sure,Not Sure,Not Sure,0,1,0,0,0,0,1,Sometimes,Sometimes,"Yes, formal training sessions",Somewhat confident,Very helpful,,,
62,2026-07-14 10:53:54,KNUST,Postgraduate (Msc/MPhil),Health Sciences,Health Sciences,Intermediate (I understand common threats),"Yes, once or twice",0,0,0,0,0,1,No,0,0,0,0,Yes,1,0,1,0,1,Phishing,Legitimate,Phishing,Phishing,Phishing,Phishing,0,1,1,0,1,1,4,Sometimes,Sometimes,"Yes, through emails or notices only",Somewhat confident,Very helpful,,,
63,2026-07-14 10:58:32,KNUST,Postgraduate (Msc/MPhil),Business / Social Sciences,Business / Social Sciences,Intermediate (I understand common threats),"Yes, many times",0,1,0,0,0,0,No,0,0,0,0,No,1,0,0,1,0,Legitimate,Legitimate,Phishing,Legitimate,Phishing,Phishing,1,1,1,1,1,1,6,Always,"Yes, always","Yes, formal training sessions",Very confident,Very helpful,,,
64,2026-07-14 11:03:14,UDS,Undergraduate (Year 3-4),Land Administration,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Not Sure,Phishing,Phishing,1,1,1,0,1,1,5,Sometimes,Sometimes,No / I am not aware of any,Not very confident,Very helpful,,,
65,2026-07-14 11:15:33,UDS,Undergraduate (Year 3-4),Land Administration,Business / Social Sciences,Basic (I have heard of it),"Yes, many times",0,0,1,0,0,0,Yes,1,1,0,0,No,1,0,0,1,0,Phishing,Legitimate,Legitimate,Not Sure,Not Sure,Not Sure,0,1,0,0,0,0,1,Never,"Yes, always","Yes, formal training sessions",Not very confident,Very helpful,,,
66,2026-07-14 11:20:20,University for development studies,Undergraduate (Year 3-4),Land administration,Business / Social Sciences,Advanced (I can protect myself confidently),"Yes, many times",0,0,1,0,0,0,No,0,0,0,0,No,1,0,1,0,1,Legitimate,Legitimate,Phishing,Phishing,Phishing,Phishing,1,1,1,0,1,1,5,Always,"Yes, always",No / I am not aware of any,Somewhat confident,Very helpful,,,
